ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
251610,200401,1333,94860.0
251615,200401,271,20625.0
251620,200401,4128,279175.0
251630,200401,1181,87545.0
251640,200401,886,60735.0
251650,200401,1353,101310.0
251660,200401,1202,93635.0
251670,200401,547,43465.0
251675,200401,123,9670.0
251680,200401,693,49180.0
251690,200401,967,69725.0
251700,200401,537,42140.0
251710,200401,206,13685.0
251720,200401,218,17020.0
251740,200401,104,8230.0
250010,200402,585,48355.0
250020,200402,702,49360.0
250030,200402,2403,185515.0
250040,200402,1342,102530.0
250050,200402,1153,89105.0
250053,200402,406,31625.0
250057,200402,147,11170.0
250060,200402,142,11745.0
250070,200402,1281,82940.0
250073,200402,216,15330.0
250077,200402,416,29375.0
250080,200402,977,75785.0
250090,200402,1190,85470.0
250100,200402,1134,94525.0
250110,200402,1231,84445.0
250115,200402,266,19960.0
250120,200402,412,30975.0
250130,200402,686,56010.0
250135,200402,111,9215.0
250140,200402,70,5430.0
250150,200402,1125,92835.0
250153,200402,314,22330.0
250157,200402,642,48780.0
250160,200402,1465,110795.0
250170,200402,396,28555.0
250180,200402,457,34910.0
250190,200402,537,39435.0
250200,200402,257,19445.0
250205,200402,204,15410.0
250210,200402,578,42130.0
250215,200402,273,21665.0
250220,200402,216,15725.0
250230,200402,426,30875.0
250240,200402,675,50160.0
250250,200402,1055,80480.0
250260,200402,787,55545.0
250270,200402,315,25210.0
250280,200402,830,60220.0
250290,200402,819,58710.0
250300,200402,389,32990.0
250310,200402,344,27385.0
250320,200402,739,56030.0
250330,200402,565,42795.0
250340,200402,276,19880.0
250350,200402,1136,90750.0
250355,200402,793,61255.0
250360,200402,616,46445.0
250370,200402,3036,217510.0
250375,200402,315,22590.0
250380,200402,76,5675.0
250390,200402,622,44910.0
250400,200402,10511,796885.0
250403,200402,115,9085.0
250407,200402,308,23040.0
250410,200402,153,11930.0
250415,200402,731,53620.0
250420,200402,313,23830.0
250430,200402,1728,131245.0
250435,200402,432,32040.0
250440,200402,1079,74645.0
250450,200402,494,38615.0
250460,200402,498,38480.0
250470,200402,532,38925.0
250480,200402,790,54545.0
250485,200402,138,9495.0
250490,200402,1127,85810.0
250500,200402,277,21065.0
250510,200402,1921,138720.0
250520,200402,447,34140.0
250523,200402,129,9200.0
250527,200402,350,27505.0
250530,200402,261,19765.0
250535,200402,469,35435.0
250540,200402,695,53445.0
250550,200402,369,25955.0
250560,200402,643,49935.0
250570,200402,849,67350.0
250580,200402,461,33725.0
250590,200402,335,25115.0
250600,200402,1643,126580.0
250610,200402,925,71760.0
250620,200402,233,16420.0
250625,200402,507,39520.0
250630,200402,3496,256050.0
250640,200402,653,49625.0
250650,200402,201,15530.0
250660,200402,515,39250.0
250670,200402,1383,103110.0
250680,200402,1337,100995.0
250690,200402,775,60730.0
250700,200402,1511,110680.0
250710,200402,1012,74915.0
250720,200402,833,66560.0
250730,200402,938,70860.0
250740,200402,500,39750.0
250750,200402,10203,723200.0
250760,200402,509,40130.0
250770,200402,695,55095.0
250780,200402,759,53305.0
250790,200402,151,12300.0
250800,200402,1140,85945.0
250810,200402,349,26350.0
250820,200402,589,41325.0
250830,200402,1507,113400.0
250840,200402,167,12460.0
250850,200402,783,57510.0
250855,200402,300,23730.0
250860,200402,258,19795.0
250870,200402,471,33400.0
250880,200402,437,31635.0
250890,200402,1079,82390.0
250900,200402,1024,80875.0
250905,200402,227,18085.0
250910,200402,895,66800.0
250915,200402,452,33465.0
250920,200402,1138,87540.0
250930,200402,349,28135.0
250933,200402,433,33060.0
250937,200402,264,18725.0
250939,200402,357,28040.0
250940,200402,827,63780.0
250950,200402,463,34945.0
250960,200402,381,30825.0
250970,200402,2397,178765.0
250980,200402,773,55010.0
250990,200402,292,23235.0
251000,200402,614,45810.0
251010,200402,473,37815.0
251020,200402,624,49525.0
251030,200402,356,26150.0
251040,200402,1071,76785.0
251050,200402,355,26635.0
251060,200402,117,8775.0
251065,200402,166,12470.0
251070,200402,358,24300.0
251080,200402,5067,370515.0
251090,200402,1145,79445.0
251100,200402,441,33320.0
251110,200402,501,38095.0
251120,200402,283,22520.0
251130,200402,1469,105075.0
251140,200402,1281,98700.0
251150,200402,1091,77080.0
251160,200402,668,51040.0
251170,200402,395,30710.0
251180,200402,1054,76985.0
251190,200402,296,23380.0
251200,200402,1375,100800.0
251203,200402,486,36175.0
251207,200402,410,29795.0
251210,200402,730,58390.0
251220,200402,263,19220.0
251230,200402,1531,120875.0
251240,200402,1390,100220.0
251250,200402,1919,152960.0
251260,200402,211,15310.0
251270,200402,566,45235.0
251272,200402,222,16550.0
251274,200402,219,15535.0
